"년월","시군구","인원"
"2023-03","전북 순창군","30"
"2023-03","전북 완주군","76"
"2023-03","전북 익산시","590"
"2023-03","전북 임실군","9"
"2023-03","전북 장수군","15"
"2023-03","전북 전주시","1800"
"2023-03","전북 정읍시","228"
"2023-03","전북 진안군","60"
"2023-03","제주도 서귀포시","223"
"2023-03","제주도 제주시","815"
"2023-03","충남 계룡시","38"
"2023-03","충남 공주시","140"
"2023-03","충남 금산군","76"
"2023-03","충남 논산시","343"
"2023-03","충남 당진시","149"
"2023-03","충남 보령시","153"
"2023-03","충남 부여군","58"
"2023-03","충남 서천군","94"
"2023-03","충남 아산시","377"
"2023-03","충남 예산군","91"
"2023-03","충남 천안시","98"
"2023-03","충남 청양군","29"
"2023-03","충남 태안군","81"
"2023-03","충남 홍성군","263"
"2023-03","충북 괴산군","69"
"2023-03","충북 보은군","65"
"2023-03","충북 영동군","77"
"2023-03","충북 옥천군","65"
"2023-03","충북 음성군","57"
"2023-03","충북 제천시","334"
"2023-03","충북 증평군","42"
"2023-03","충북 진천군","70"
"2023-03","충북 청주시","946"
"2023-03","충북 충주시","367"
"2023-04","강원도 강릉시","45"
"2023-04","강원도 고성군","15"
"2023-04","강원도 동해시","50"
"2023-04","강원도 삼척시","6"
"2023-04","강원도 속초시","12"
"2023-04","강원도 양구군","3"
"2023-04","강원도 양양군","8"
"2023-04","강원도 영월군","35"
"2023-04","강원도 원주시","121"
"2023-04","강원도 인제군","4"
"2023-04","강원도 정선군","17"
"2023-04","강원도 철원군","7"
"2023-04","강원도 춘천시","141"
"2023-04","강원도 태백시","36"
"2023-04","강원도 평창군","11"
"2023-04","강원도 홍천군","35"
"2023-04","강원도 화천군","1"
"2023-04","강원도 횡성군","55"
"2023-04","경기도 가평군","46"
"2023-04","경기도 고양시","2457"
"2023-04","경기도 과천시","1"
"2023-04","경기도 광명시","1608"
"2023-04","경기도 광주시","156"
"2023-04","경기도 구리시","281"
"2023-04","경기도 군포시","458"
"2023-04","경기도 김포시","775"
"2023-04","경기도 남양주시","61"
"2023-04","경기도 동두천시","249"
"2023-04","경기도 부천시","864"
"2023-04","경기도 성남시","536"
"2023-04","경기도 수원시","2050"
"2023-04","경기도 시흥시","400"
"2023-04","경기도 안산시","366"
"2023-04","경기도 안성시","177"
"2023-04","경기도 안양시","1630"
"2023-04","경기도 양주시","195"
"2023-04","경기도 양평군","141"
"2023-04","경기도 여주시","174"
"2023-04","경기도 연천군","18"
"2023-04","경기도 오산시","228"
"2023-04","경기도 용인시","826"
"2023-04","경기도 의왕시","80"
"2023-04","경기도 의정부시","768"
"2023-04","경기도 이천시","115"
"2023-04","경기도 파주시","329"
"2023-04","경기도 평택시","506"
"2023-04","경기도 포천시","258"
"2023-04","경기도 하남시","160"
"2023-04","경기도 화성시","195"
"2023-04","경남 거제시","295"
"2023-04","경남 거창군","113"
