city,year_month,temperature_max,temperature_min,temperature_range,pressure,humidity,rain,wind,sunshine_rate,count
강릉,2023-04,0.23540604695259332,0.16078928343025736,-0.00764625435725702,0.44315914926826194,-1.727932126297343,-0.7223661361319568,1.1039091676394328,0.5427405376918047,45.0
강릉,2023-05,1.2238943184706947,0.3389444210080524,0.9580567133088348,0.3852949200972393,-1.2262220467635303,-0.3051938989950321,0.4442903587884097,0.08330820072666184,1073.0
강릉,2023-06,1.0903148223196,1.105011512592571,-0.7587485625419947,-0.07038588462452171,-0.5238279354161924,0.19295457827938944,0.312366597018205,0.001767728708039189,705.0
강릉,2023-07,1.464337411542665,1.3098899208070354,-0.6693316210914313,-0.055919827331772226,0.07822416002438275,-0.20686560739950033,0.04851907347779579,-1.2222161308403183,690.0
강릉,2023-08,1.6112748573088695,1.5414915996581686,-0.9375824454431227,-0.08485194191727943,0.8809602872784831,2.801546314137317,-0.21532845006261342,-1.4764821188553783,726.0
강릉,2023-09,0.7430081323267532,0.9892106731670042,-0.9912326103134613,0.4576252065610114,0.8809602872784831,0.7482202249365095,-0.08340468829240896,-0.865366968350217,746.0
강릉,2023-10,0.048394752341060304,0.3300366641291626,-0.5977980679309791,0.7252472664769715,-1.2262220467635303,-0.7751452926501466,0.8400616440990234,1.012694225885157,690.0
강릉,2023-11,0.36898554310368814,-0.7121708907009383,1.9237596809749267,0.7903445242943647,-2.3299842217379183,-0.6674179731815126,1.4996804529500465,1.836866738761558,666.0
강릉,2023-12,-0.7797981237957274,-1.2911750878287722,1.5482085268825576,1.1085977847349604,-1.5272480944838178,0.6932720619860652,1.2358329294096377,1.1030024905939542,692.0
강릉,2024-01,-1.848434093004486,-1.3089906015865518,0.1533042402537586,1.1158308133813393,-1.727932126297343,-0.6254838488245947,1.1039091676394328,1.3765576225273977,680.0
강릉,2024-02,-0.819871972641056,-0.5518312668809227,0.01023713393285604,1.2532583576625047,0.3792502077446704,0.30357390632436265,0.04851907347779579,-1.6886627019576006,683.0
강릉,2024-03,-0.7263663253352897,-0.863602757642064,0.7613394421175937,0.6963151518914643,-1.3265640626702928,-0.48666743716031474,0.7081378823288187,0.45681616932809455,693.0
강릉,2024-04,0.38234349271879736,-0.0886279091786557,0.6898058889571428,0.47209126385376915,-1.1258800308567678,-0.6609109538847495,0.18044283524800026,0.33932774727975684,653.0
강릉,2024-05,0.9300194269382858,0.3478521778869421,0.5467387826362395,0.30573160498708835,-1.5272480944838178,-0.40858320559915723,0.8400616440990234,0.7856083952096375,699.0
강릉,2024-06,1.1971784192404755,0.7932400218314297,0.010237133932855403,-0.04868679868539337,-0.624169951322955,-0.28567284110474267,0.04851907347779579,1.0512725137219245,689.0
강릉,2024-07,1.424263562697337,1.4702295446270506,-1.0448827751837992,-0.1499491997346727,0.07822416002438275,-0.12733537155017324,0.8400616440990234,-1.386173854146581,668.0
강릉,2024-08,1.504411260387994,1.5414915996581686,-1.0806495517640247,-0.005288626807128458,0.1785661759311453,-0.33339098261433886,0.18044283524800026,0.4638304034802346,671.0
강릉,2024-09,1.050240973474272,0.926856375014776,-0.45473096161007714,0.5010233784392764,1.1819863349987707,2.5029464286302985,-0.08340468829240896,-1.6904162604956356,746.0
강릉,2024-10,-0.25883808880645787,0.5260073154647371,-1.402550540986056,0.9133060112827807,0.2789081918379078,0.24645673694166406,0.18044283524800026,-0.7697980280273149,667.0
강릉,2024-11,-0.11190064304025338,-0.2667830467564507,0.3857882880252252,0.9567041831610373,-0.7245119672297176,-0.7259811468523807,0.5762141205586145,0.17010934835938937,686.0
강릉,2024-12,-1.461053554166311,-0.7121708907009383,-0.5262645147705282,0.8988399539900229,-2.9320363171784933,-0.8416614899059474,1.3677566911798418,2.050800880401815,697.0
강릉,2025-01,-1.955297689925362,-1.157558734645426,-0.2937804669990622,0.9928693263929234,-2.229642205831156,-0.8445534984822866,1.3677566911798418,1.8359899594925402,653.0
강릉,2025-02,-1.180536612249012,-1.228820789676544,0.8865231601483833,0.9422381258682878,-3.3334043808055434,-1.0597073157190574e-16,1.7635279764904561,2.6058021576898596,669.0
강릉,2025-03,-0.15197449188558193,-0.5874622943964818,0.9759401015989473,0.7252472664769715,-1.1258800308567678,-0.09769228364269683,0.7081378823288187,0.4498019351759551,611.0
강진,2023-04,0.048394752341060304,-0.2133365054831122,0.4930886177659016,0.6239848654276922,0.07822416002438275,-0.2719358003671316,0.312366597018205,-0.24285368734782875,101.0
강진,2023-05,0.42241734156412586,0.2587746090980446,0.046003910513081524,0.4648582352073903,0.680276255464958,1.3620490452644975,-0.21532845006261342,-0.7978549646358732,84.0
강진,2023-06,0.6895763338663156,0.9803029162881145,-1.0448827751837992,0.06704165965664366,0.5799342395581955,0.2760998248491405,-0.08340468829240896,-0.6873807767396749,89.0
강진,2023-07,1.050240973474272,1.4435062739903817,-1.4919674824366196,0.11043983153490856,1.8843804463461085,3.1037612103647607,-0.47917597360302294,-2.6022667002737814,95.0
강진,2023-08,1.3708317642368992,1.5147683290214993,-1.2058332697948142,-0.11378405650278663,1.0816443190920082,1.5608746348878153,-0.47917597360302294,0.24551236549488986,103.0
강진,2023-09,0.9033035277080674,1.0693804850770119,-0.9375824454431221,0.399760977389997,1.1819863349987707,-0.06443418501479635,-0.7430234971434321,-0.885532891537618,109.0
강진,2023-10,-0.0050370461193774314,0.24986685221915486,-0.5083811264804151,0.8699078394045158,0.1785661759311453,-0.9182997171789354,-0.47917597360302294,0.6286649060555144,94.0
